object_id,area_pixels,area_bio_nm2,centroid_y,centroid_x
1,987.0,24675.0,520.1003039513678,1396.308004052685
2,1460.0,36500.0,557.1746575342465,1394.8541095890412
3,610.0,15250.0,585.5540983606558,1396.7262295081966
4,2139.0,53475.0,585.4193548387096,1345.3253856942497
5,670.0,16750.0,594.0582089552239,1304.7910447761194
6,771.0,19275.0,603.923476005188,1387.1245136186772
7,1089.0,27225.0,601.5766758494032,1436.0312213039485
8,2771.0,69275.0,628.1367737278961,1352.4788884879106
9,830.0,20750.0,634.4409638554217,1412.5373493975903
10,5460.0,136500.0,634.6503663003663,1276.1705128205128
11,1429.0,35725.0,646.8565430370888,1149.4646606018196
12,297.0,7425.0,656.2693602693603,1231.2053872053873
14,4407.0,110175.0,662.66553210801,1080.6423871114137
15,2166.0,54150.0,658.2483841181902,1194.9566020313944
16,1627.0,40675.0,665.8014751075599,1390.6072526121695
17,1105.0,27625.0,692.931221719457,1417.9837104072399
18,1716.0,42900.0,697.1981351981352,1189.1713286713286
19,1522.0,38050.0,693.0742444152431,1613.2325886990802
20,237.0,5925.0,693.0126582278481,1070.6582278481012
21,4709.0,117725.0,700.8536844340624,1348.9369292843492
22,183.0,4575.0,698.0710382513661,1571.704918032787
23,284.0,7100.0,701.6267605633802,1557.6232394366198
24,5408.0,135200.0,707.9367603550296,1285.9166050295858
25,1940.0,48500.0,714.5324742268041,1224.2561855670103
26,1728.0,43200.0,715.6533564814815,1065.3315972222222
27,2092.0,52300.0,714.9235181644359,1466.878585086042
28,1067.0,26675.0,711.813495782568,1525.3514526710403
29,3390.0,84750.0,713.523598820059,1135.7097345132743
30,533.0,13325.0,732.6998123827392,1185.0675422138836
31,2438.0,60950.0,760.116899097621,1129.8334700574242
32,337.0,8425.0,760.0029673590504,1339.1988130563798
33,3354.0,83850.0,751.5405485986881,1019.5026833631484
34,2636.0,65900.0,774.4476479514416,1187.121775417299
35,1618.0,40450.0,776.0142150803462,1451.4740420271942
36,3378.0,84450.0,782.5781527531084,1275.833629366489
37,1325.0,33125.0,773.0928301886793,1083.086037735849
38,299.0,7475.0,782.5317725752508,981.6220735785953
39,2684.0,67100.0,784.2883755588674,1230.1829359165424
40,1245.0,31125.0,777.6248995983935,1318.679518072289
41,4453.0,111325.0,802.8156299124186,1026.1500112283854
42,948.0,23700.0,792.9778481012659,1413.9377637130801
43,539.0,13475.0,800.0426716141002,1388.3673469387754
